epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.421,1.21015,2.03785,1.29593,0.53586,0.35578,0.34958,0.27681,0.83621,1.42855,0.98468,0.0672374,0.000330935,0.000330935
2,971.929,1.02073,1.30616,1.16003,0.48363,0.40295,0.41257,0.30568,0.77939,1.30261,0.95847,0.0342368,0.00066362,0.00066362
3,1331.57,1.01336,1.21962,1.13923,0.37518,0.50962,0.4436,0.31456,0.77999,1.45164,0.95336,0.00123352,0.000993708,0.000993708
4,1705.71,0.96019,1.08508,1.11093,0.5868,0.38663,0.42141,0.31182,0.78694,1.16721,0.98219,0.000991232,0.000991232,0.000991232
5,2041.9,0.92318,1.04102,1.09262,0.63051,0.48524,0.54331,0.39761,0.70465,0.90457,0.92441,0.000984449,0.000984449,0.000984449
6,2394.32,0.87465,0.95006,1.0738,0.64156,0.50516,0.54187,0.40649,0.68009,0.81595,0.92097,0.000975773,0.000975773,0.000975773
7,2762.66,0.85167,0.9154,1.05427,0.86219,0.4893,0.59794,0.42993,0.71583,0.7757,0.95291,0.000965239,0.000965239,0.000965239
8,3124.55,0.83707,0.89759,1.04673,0.51294,0.56272,0.57434,0.42443,0.67735,0.82565,0.90669,0.000952889,0.000952889,0.000952889
9,3491.43,0.80452,0.84537,1.03388,0.86661,0.45168,0.55432,0.41025,0.63187,0.73766,0.88073,0.000938772,0.000938772,0.000938772
10,3828.26,0.79176,0.81918,1.03277,0.74744,0.60809,0.6782,0.46093,0.60464,0.68128,0.88175,0.000922942,0.000922942,0.000922942
11,4187.01,0.78734,0.79825,1.0259,0.83404,0.5849,0.67883,0.50061,0.62733,0.69981,0.87054,0.000905463,0.000905463,0.000905463
12,4546.44,0.78075,0.79853,1.01854,0.53774,0.62315,0.59298,0.42068,0.70328,0.72686,0.89533,0.000886404,0.000886404,0.000886404
13,4906.02,0.76263,0.76305,1.00443,0.78418,0.57436,0.67492,0.49616,0.59562,0.66035,0.86693,0.000865839,0.000865839,0.000865839
14,5264.95,0.74699,0.74008,1.00569,0.67163,0.62915,0.58709,0.45158,0.56527,0.65775,0.85846,0.000843851,0.000843851,0.000843851
15,5623.46,0.73662,0.735,0.99491,0.71539,0.60778,0.6823,0.52862,0.56568,0.62446,0.84934,0.000820525,0.000820525,0.000820525
16,5985.32,0.71505,0.7114,0.99441,0.76172,0.58858,0.60886,0.47804,0.56553,0.65253,0.85747,0.000795954,0.000795954,0.000795954
17,6345.07,0.7199,0.72574,0.99412,0.72687,0.63252,0.69043,0.50999,0.55764,0.6111,0.86154,0.000770234,0.000770234,0.000770234
18,6704.01,0.70314,0.69316,0.98733,0.88371,0.55093,0.69058,0.51872,0.55754,0.63556,0.85014,0.000743468,0.000743468,0.000743468
19,7062.92,0.68057,0.66544,0.9708,0.7425,0.6057,0.62224,0.48732,0.56413,0.61935,0.84048,0.000715761,0.000715761,0.000715761
20,7421.03,0.68101,0.64919,0.97336,0.73846,0.62161,0.6458,0.49834,0.53347,0.59253,0.83429,0.000687222,0.000687222,0.000687222
21,7779.48,0.68166,0.67628,0.97297,0.8329,0.63391,0.70522,0.51668,0.52596,0.58224,0.84016,0.000657963,0.000657963,0.000657963
22,8139.51,0.66831,0.65071,0.96978,0.78956,0.64565,0.71661,0.53832,0.51795,0.54336,0.82842,0.000628101,0.000628101,0.000628101
23,8498.56,0.66944,0.6329,0.96823,0.78499,0.66737,0.72892,0.55225,0.52795,0.53459,0.83404,0.000597754,0.000597754,0.000597754
24,8858.44,0.66019,0.62812,0.96219,0.73255,0.62872,0.62843,0.4897,0.53769,0.60897,0.84359,0.00056704,0.00056704,0.00056704
25,9218.6,0.66686,0.64539,0.96887,0.9223,0.5836,0.69597,0.51167,0.55129,0.57067,0.84588,0.000536081,0.000536081,0.000536081
26,9578.6,0.64229,0.61447,0.96301,0.77418,0.60582,0.63894,0.48187,0.53032,0.56541,0.83515,0.000505,0.000505,0.000505
27,9937.52,0.62546,0.60192,0.95116,0.78853,0.65238,0.65682,0.49967,0.52098,0.54235,0.83506,0.000473919,0.000473919,0.000473919
28,10301.4,0.63886,0.60104,0.96571,0.82895,0.65172,0.70548,0.53626,0.51309,0.56408,0.83005,0.00044296,0.00044296,0.00044296
29,10661.8,0.62377,0.59301,0.95381,0.73531,0.66139,0.64996,0.49326,0.52285,0.57295,0.8306,0.000412246,0.000412246,0.000412246
30,11021.8,0.60931,0.57984,0.9433,0.78748,0.62673,0.64277,0.50442,0.4999,0.53534,0.82405,0.000381899,0.000381899,0.000381899
31,11381,0.60304,0.57326,0.94188,0.76225,0.63986,0.63834,0.48038,0.50186,0.54786,0.82523,0.000352037,0.000352037,0.000352037
32,11744.4,0.60955,0.57706,0.94403,0.91142,0.60074,0.70961,0.52708,0.49334,0.5227,0.82086,0.000322778,0.000322778,0.000322778
33,12105,0.60123,0.55795,0.94232,0.83378,0.63311,0.6561,0.50691,0.49774,0.53505,0.81087,0.000294239,0.000294239,0.000294239
