epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0042,2.59093,13.6651,1.97273,0.41675,0.22581,0.20646,0.11555,1.60644,9.12846,1.29069,0.08515,0.00015,0.00015
2,28.713,1.79505,2.00067,1.45189,0.29105,0.46774,0.35967,0.14965,2.02906,2.04407,1.5099,0.0693097,0.000309697,0.000309697
3,40.5065,1.64634,1.53744,1.40481,0.7648,0.51613,0.70653,0.42307,1.41232,1.71854,1.26464,0.0534682,0.000468165,0.000468165
4,52.229,1.59307,1.30936,1.36672,0.62993,0.53226,0.61539,0.38164,1.41047,1.43091,1.17966,0.0376245,0.000624476,0.000624476
5,63.9253,1.50567,1.1716,1.33835,0.68854,0.64516,0.67025,0.41922,1.35266,2.15979,1.21275,0.0217777,0.000777714,0.000777714
6,75.6513,1.5035,1.15299,1.32541,0.65653,0.66129,0.64535,0.38117,1.42171,3.42356,1.21056,0.00592698,0.000926984,0.000926984
7,87.3524,1.49542,1.04592,1.32607,0.70624,0.58166,0.65001,0.38607,1.43854,1.40496,1.25856,0.000965239,0.000965239,0.000965239
8,99.5833,1.47505,1.04954,1.32324,0.80172,0.6129,0.76683,0.42626,1.37078,1.45924,1.23587,0.000952889,0.000952889,0.000952889
9,111.332,1.45533,1.02176,1.31367,0.67948,0.56452,0.64668,0.35388,1.57948,1.80971,1.32075,0.000938772,0.000938772,0.000938772
10,122.971,1.43513,0.97523,1.30458,0.68217,0.6924,0.72304,0.49262,1.3076,1.21785,1.16094,0.000922942,0.000922942,0.000922942
11,134.755,1.40881,0.93195,1.2907,0.73844,0.67742,0.77131,0.49205,1.33386,1.09486,1.15938,0.000905463,0.000905463,0.000905463
12,146.38,1.33304,0.86863,1.25903,0.8807,0.72581,0.84554,0.50326,1.36239,0.9941,1.16545,0.000886404,0.000886404,0.000886404
13,158.121,1.30535,0.89798,1.23148,0.75776,0.74194,0.85383,0.55316,1.20878,0.89036,1.07835,0.000865839,0.000865839,0.000865839
14,169.821,1.32364,0.8617,1.2328,0.86106,0.79975,0.87037,0.55986,1.2454,1.00035,1.0767,0.000843851,0.000843851,0.000843851
15,182.073,1.27228,0.79373,1.22002,0.82853,0.85732,0.90075,0.62002,1.14662,0.74291,1.03262,0.000820525,0.000820525,0.000820525
16,193.796,1.22583,0.79088,1.21488,0.85034,0.82258,0.90239,0.60795,1.19549,0.81271,1.07757,0.000795954,0.000795954,0.000795954
17,205.433,1.23689,0.79123,1.20663,0.8271,0.82258,0.90747,0.63833,1.144,0.77437,1.029,0.000770234,0.000770234,0.000770234
18,217.175,1.20786,0.75186,1.18156,0.94111,0.77323,0.8605,0.57282,1.21428,1.07854,1.04986,0.000743468,0.000743468,0.000743468
19,228.82,1.19946,0.72017,1.16849,0.88854,0.90008,0.93635,0.6507,1.15056,0.71578,1.02787,0.000715761,0.000715761,0.000715761
20,240.529,1.1493,0.70429,1.14144,0.89329,0.94523,0.95229,0.67795,1.09422,0.63353,0.99699,0.000687222,0.000687222,0.000687222
21,252.256,1.15537,0.69878,1.15225,0.89199,0.93548,0.96522,0.67533,1.10796,0.65872,1.0079,0.000657963,0.000657963,0.000657963
22,264.492,1.119,0.66879,1.14325,0.92166,0.94876,0.9671,0.69518,1.06261,0.61711,0.98226,0.000628101,0.000628101,0.000628101
23,276.229,1.11112,0.64288,1.12785,0.8787,0.93474,0.94651,0.70417,1.00604,0.62668,0.95999,0.000597754,0.000597754,0.000597754
24,287.906,1.07546,0.6448,1.10233,0.93709,0.96108,0.96943,0.70049,1.02572,0.56117,0.96587,0.00056704,0.00056704,0.00056704
25,299.494,1.06014,0.6115,1.11657,0.92264,0.98387,0.97067,0.73269,0.98767,0.55185,0.95063,0.000536081,0.000536081,0.000536081
26,311.269,1.01709,0.60015,1.08438,0.92115,0.95161,0.95743,0.70936,1.03359,0.55337,0.96782,0.000505,0.000505,0.000505
27,322.91,1.02194,0.60394,1.09759,0.96321,0.90323,0.96066,0.72968,0.99685,0.54935,1.00186,0.000473919,0.000473919,0.000473919
28,334.541,1.0248,0.59693,1.08564,0.93436,0.95161,0.98441,0.76153,0.9106,0.51089,0.93209,0.00044296,0.00044296,0.00044296
29,346.772,0.96249,0.57526,1.06198,0.92268,0.96774,0.96581,0.72417,0.96014,0.55061,0.94991,0.000412246,0.000412246,0.000412246
30,358.423,0.96905,0.55753,1.0633,0.95119,0.94306,0.9809,0.71256,1.00864,0.51801,0.97041,0.000381899,0.000381899,0.000381899
31,370.063,0.9862,0.55894,1.05867,0.97447,0.96774,0.98541,0.73779,0.96473,0.48004,0.94819,0.000352037,0.000352037,0.000352037
32,381.7,0.92834,0.54798,1.04162,0.93302,0.96774,0.97634,0.74363,0.9011,0.47926,0.92959,0.000322778,0.000322778,0.000322778
33,393.325,0.90374,0.53039,1.03044,0.9381,0.97776,0.98162,0.76235,0.90458,0.47294,0.93609,0.000294239,0.000294239,0.000294239
34,405.092,0.90969,0.52759,1.03907,0.93684,0.98387,0.98203,0.76918,0.88306,0.46531,0.92447,0.000266532,0.000266532,0.000266532
35,416.857,0.86842,0.49036,1.02511,0.94685,0.98387,0.98811,0.77904,0.87614,0.45266,0.91372,0.000239766,0.000239766,0.000239766
36,429.106,0.88615,0.50978,1.04114,0.96572,0.96774,0.9884,0.77249,0.88136,0.45989,0.92513,0.000214046,0.000214046,0.000214046
37,440.766,0.86523,0.50228,1.02186,0.9375,0.96775,0.98773,0.79096,0.84352,0.46306,0.89879,0.000189475,0.000189475,0.000189475
38,452.584,0.8331,0.48449,0.99394,0.95967,0.98387,0.98998,0.78561,0.82437,0.46939,0.89711,0.000166149,0.000166149,0.000166149
39,464.259,0.8224,0.47363,0.99901,0.96274,0.98387,0.98906,0.77835,0.84585,0.45512,0.89958,0.000144161,0.000144161,0.000144161
40,475.943,0.80498,0.46673,1.00374,0.95035,0.96774,0.98895,0.78822,0.81952,0.4417,0.88921,0.000123596,0.000123596,0.000123596
41,491.129,0.79186,0.4367,1.02638,0.96516,0.96774,0.9904,0.77066,0.87884,0.45055,0.90494,0.000104537,0.000104537,0.000104537
42,502.732,0.76617,0.42025,1.01708,0.96479,0.96774,0.9868,0.79028,0.8196,0.44153,0.88379,8.70577e-05,8.70577e-05,8.70577e-05
43,514.917,0.74703,0.40734,1.00483,0.96757,0.96235,0.98577,0.80006,0.77692,0.44092,0.87404,7.12282e-05,7.12282e-05,7.12282e-05
44,526.541,0.7266,0.3993,1.0116,0.96054,0.95161,0.98706,0.80156,0.79855,0.4311,0.87803,5.71106e-05,5.71106e-05,5.71106e-05
45,538.206,0.72346,0.39898,1.00723,0.97061,0.95161,0.98884,0.79909,0.78607,0.43938,0.87419,4.47606e-05,4.47606e-05,4.47606e-05
46,549.745,0.71786,0.39382,1.0048,0.98353,0.96318,0.98853,0.80028,0.77878,0.4417,0.87224,3.4227e-05,3.4227e-05,3.4227e-05
47,561.264,0.69352,0.39869,0.98623,0.98353,0.96325,0.98843,0.80057,0.76785,0.43234,0.86895,2.55513e-05,2.55513e-05,2.55513e-05
48,572.865,0.70083,0.39363,0.99147,0.96619,0.95161,0.98836,0.79407,0.77359,0.43463,0.87263,1.87678e-05,1.87678e-05,1.87678e-05
49,584.399,0.69679,0.39621,0.97914,0.96466,0.95161,0.98874,0.79928,0.76912,0.43466,0.87249,1.39032e-05,1.39032e-05,1.39032e-05
50,596.426,0.68364,0.37783,0.98114,0.97041,0.95161,0.98895,0.80332,0.76839,0.43,0.87178,1.09768e-05,1.09768e-05,1.09768e-05
