epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4366,1.41331,2.6245,1.59834,0.9516,0.33652,0.44544,0.34438,1.16717,2.35636,1.35641,0.000463459,0.000463459,0.000463459
2,160.665,1.12304,1.52789,1.31656,0.93552,0.42232,0.50489,0.38777,1.12481,1.46192,1.36279,0.000921185,0.000921185,0.000921185
3,235.517,1.08849,1.30154,1.27778,0.92137,0.46431,0.54095,0.39689,1.13086,1.18853,1.36386,0.00136005,0.00136005,0.00136005
4,307.319,1.03688,1.10879,1.23853,0.90338,0.50122,0.54828,0.41986,1.08214,1.30356,1.34138,0.00134412,0.00134412,0.00134412
5,378.789,1.02788,1.02567,1.23147,0.91592,0.50791,0.55508,0.42402,1.02623,1.07357,1.25752,0.00131582,0.00131582,0.00131582
6,450.701,0.99044,0.95937,1.21098,0.9234,0.51354,0.56827,0.44055,0.97395,1.03339,1.21925,0.00128753,0.00128753,0.00128753
7,523.348,0.97388,0.90583,1.1948,0.9265,0.52726,0.59301,0.46209,0.94236,0.93168,1.18426,0.00125923,0.00125923,0.00125923
8,594.753,0.95722,0.87263,1.18589,0.58267,0.53575,0.58408,0.45773,0.9627,0.87423,1.17054,0.00123094,0.00123094,0.00123094
9,667.559,0.92393,0.82438,1.16602,0.92442,0.53054,0.61335,0.47997,0.92776,0.87109,1.16436,0.00120265,0.00120265,0.00120265
10,740.029,0.91153,0.81033,1.16131,0.59067,0.5322,0.58614,0.46227,0.92638,0.84836,1.13858,0.00117435,0.00117435,0.00117435
11,812.46,0.89264,0.77929,1.14747,0.5525,0.71675,0.63954,0.50049,0.9087,0.82199,1.14655,0.00114606,0.00114606,0.00114606
12,884.409,0.88611,0.76964,1.14077,0.90351,0.67048,0.74156,0.53499,0.89525,0.81514,1.14388,0.00111776,0.00111776,0.00111776
13,956.074,0.8856,0.75792,1.14041,0.69266,0.60769,0.68552,0.49735,0.90652,0.81507,1.13783,0.00108947,0.00108947,0.00108947
14,1029.1,0.87538,0.74835,1.13672,0.76932,0.59044,0.65526,0.49482,0.88584,0.77266,1.11686,0.00106118,0.00106118,0.00106118
15,1101.04,0.85913,0.72913,1.12558,0.77059,0.57878,0.65499,0.49827,0.89507,0.76383,1.1279,0.00103288,0.00103288,0.00103288
16,1172.92,0.8624,0.72541,1.12508,0.59144,0.54333,0.59422,0.4849,0.85465,0.79211,1.09064,0.00100459,0.00100459,0.00100459
17,1243.58,0.84987,0.71686,1.11777,0.93683,0.7103,0.85659,0.56944,0.88458,0.76005,1.12131,0.000976293,0.000976293,0.000976293
18,1313.81,0.846,0.71174,1.11187,0.71767,0.75834,0.73345,0.5502,0.86712,0.73889,1.11035,0.000947999,0.000947999,0.000947999
19,1385.48,0.83685,0.69185,1.11249,0.78938,0.7371,0.76351,0.58842,0.86144,0.75864,1.11503,0.000919704,0.000919704,0.000919704
20,1456.43,0.83483,0.69321,1.11208,0.8597,0.68099,0.75381,0.56383,0.85411,0.70777,1.09765,0.00089141,0.00089141,0.00089141
21,1529.09,0.82763,0.68431,1.10996,0.63174,0.82881,0.72558,0.54335,0.8756,0.74207,1.09909,0.000863116,0.000863116,0.000863116
22,1599.46,0.81276,0.67096,1.09438,0.79482,0.66765,0.73128,0.54555,0.84775,0.7222,1.0984,0.000834822,0.000834822,0.000834822
23,1671.5,0.81483,0.66627,1.09641,0.68825,0.88694,0.75815,0.53798,0.84599,0.72758,1.08214,0.000806528,0.000806528,0.000806528
24,1743.71,0.80098,0.66097,1.09174,0.68818,0.60234,0.64774,0.51827,0.84503,0.72999,1.08576,0.000778233,0.000778233,0.000778233
25,1813.24,0.80742,0.65777,1.10028,0.76384,0.86694,0.81007,0.59641,0.86612,0.71124,1.09843,0.000749939,0.000749939,0.000749939
26,1886.41,0.79153,0.64305,1.08625,0.71631,0.85031,0.79488,0.5718,0.84903,0.70497,1.1008,0.000721645,0.000721645,0.000721645
27,1958.49,0.79258,0.64359,1.08976,0.79313,0.74434,0.74607,0.54724,0.85154,0.7181,1.0924,0.000693351,0.000693351,0.000693351
28,2029.85,0.78527,0.63076,1.08376,0.67162,0.69582,0.68037,0.53297,0.82991,0.72288,1.08528,0.000665057,0.000665057,0.000665057
29,2100.67,0.78099,0.6353,1.08356,0.82318,0.78641,0.84004,0.56251,0.84206,0.70444,1.09476,0.000636762,0.000636762,0.000636762
30,2171.79,0.77786,0.62047,1.07847,0.77065,0.79364,0.7709,0.59724,0.84712,0.71274,1.09643,0.000608468,0.000608468,0.000608468
31,2242.51,0.76978,0.61677,1.073,0.68639,0.75288,0.72301,0.56889,0.83372,0.7006,1.09347,0.000580174,0.000580174,0.000580174
32,2316.87,0.76352,0.61199,1.071,0.82057,0.69303,0.80288,0.62396,0.84602,0.7018,1.08391,0.00055188,0.00055188,0.00055188
33,2388.78,0.75551,0.60873,1.06679,0.82432,0.80796,0.80123,0.58593,0.82486,0.70778,1.07572,0.000523586,0.000523586,0.000523586
34,2460.17,0.75327,0.60293,1.06391,0.67207,0.8354,0.76275,0.58012,0.83136,0.69334,1.0838,0.000495291,0.000495291,0.000495291
35,2531.58,0.7486,0.59592,1.06565,0.69378,0.84011,0.7382,0.57345,0.8218,0.68948,1.07569,0.000466997,0.000466997,0.000466997
36,2602.44,0.75544,0.59653,1.06947,0.77078,0.7367,0.74455,0.56638,0.83877,0.68858,1.08471,0.000438703,0.000438703,0.000438703
37,2673.82,0.7419,0.59135,1.05704,0.67948,0.70123,0.67886,0.53176,0.84874,0.69188,1.09544,0.000410409,0.000410409,0.000410409
38,2746.39,0.75099,0.59208,1.06335,0.77597,0.82248,0.79214,0.60234,0.83345,0.69228,1.08275,0.000382115,0.000382115,0.000382115
39,2816.62,0.7306,0.57481,1.05063,0.78963,0.80229,0.78191,0.61625,0.82533,0.70296,1.08259,0.00035382,0.00035382,0.00035382
40,2888.89,0.72971,0.5792,1.05189,0.70254,0.6631,0.66907,0.53927,0.81405,0.69776,1.07451,0.000325526,0.000325526,0.000325526
41,2967.58,0.74556,0.55917,1.06878,0.7512,0.66182,0.72549,0.56844,0.81746,0.67482,1.07177,0.000297232,0.000297232,0.000297232
42,3034.7,0.73206,0.53578,1.06165,0.73811,0.6762,0.69941,0.55837,0.82282,0.68079,1.0752,0.000268938,0.000268938,0.000268938
