epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7992,1.54627,1.59403,1.68528,0.63301,0.64749,0.56712,0.30125,1.4568,1.93531,1.59701,0.000663004,0.000663004,0.000663004
2,86.5591,1.45833,1.30895,1.61869,0.59862,0.58262,0.6071,0.38323,1.36821,1.58013,1.58546,0.00131322,0.00131322,0.00131322
3,127.074,1.42174,1.26303,1.59916,0.78568,0.65851,0.7456,0.47281,1.32292,1.13865,1.51529,0.00194693,0.00194693,0.00194693
4,167.289,1.36792,1.18684,1.55764,0.82864,0.70624,0.77921,0.51576,1.24751,1.05564,1.46284,0.00192575,0.00192575,0.00192575
5,207.501,1.32924,1.13902,1.52345,0.83242,0.74175,0.81249,0.54365,1.1897,0.88559,1.39707,0.001901,0.001901,0.001901
6,247.795,1.28344,1.07314,1.48451,0.8691,0.68264,0.81323,0.54949,1.18568,0.86701,1.37865,0.00187625,0.00187625,0.00187625
7,288.007,1.23817,1.03357,1.45386,0.83154,0.70689,0.812,0.55486,1.17504,0.8571,1.36594,0.0018515,0.0018515,0.0018515
8,328.206,1.21223,1.00453,1.43598,0.84949,0.75994,0.83486,0.57325,1.14466,0.8083,1.32625,0.00182675,0.00182675,0.00182675
9,368.418,1.18617,0.98182,1.42055,0.83243,0.76611,0.83451,0.57025,1.12519,0.81283,1.32132,0.001802,0.001802,0.001802
10,408.542,1.17685,0.95951,1.40943,0.82868,0.76377,0.83349,0.56129,1.19074,0.80017,1.37311,0.00177725,0.00177725,0.00177725
11,448.64,1.15742,0.95163,1.40153,0.85906,0.76132,0.83638,0.57728,1.11493,0.79147,1.30071,0.0017525,0.0017525,0.0017525
12,488.855,1.1486,0.93177,1.38883,0.85621,0.75765,0.84477,0.58973,1.10424,0.77765,1.2932,0.00172775,0.00172775,0.00172775
13,528.938,1.1409,0.92155,1.38389,0.86194,0.75153,0.84976,0.59897,1.04094,0.74783,1.25282,0.001703,0.001703,0.001703
14,569.045,1.13278,0.90371,1.36788,0.86838,0.75031,0.84526,0.58915,1.10852,0.74851,1.29939,0.00167825,0.00167825,0.00167825
15,608.917,1.11296,0.89386,1.36026,0.86983,0.7443,0.82767,0.5797,1.09,0.75808,1.29726,0.0016535,0.0016535,0.0016535
16,648.643,1.10359,0.87209,1.35262,0.87453,0.75929,0.85406,0.59242,1.11256,0.73937,1.28468,0.00162875,0.00162875,0.00162875
17,688.429,1.0921,0.86411,1.34816,0.88824,0.7588,0.84859,0.60599,1.032,0.74086,1.24772,0.001604,0.001604,0.001604
18,728.433,1.07771,0.85817,1.33696,0.89542,0.73363,0.84813,0.60176,1.04042,0.71348,1.24393,0.00157925,0.00157925,0.00157925
19,768.276,1.08771,0.85473,1.34084,0.87042,0.75031,0.84282,0.6131,1.01852,0.72519,1.22518,0.0015545,0.0015545,0.0015545
20,808.092,1.07804,0.85792,1.33049,0.87538,0.74786,0.84828,0.58716,1.08306,0.75165,1.26857,0.00152975,0.00152975,0.00152975
21,847.973,1.07154,0.83701,1.33132,0.87413,0.731,0.84755,0.60055,1.07132,0.74278,1.24902,0.001505,0.001505,0.001505
22,887.706,1.04823,0.82174,1.31677,0.90991,0.73562,0.84756,0.60817,1.03779,0.7048,1.24315,0.00148025,0.00148025,0.00148025
23,927.5,1.05813,0.82481,1.315,0.87445,0.7601,0.86521,0.62885,1.00299,0.68198,1.21359,0.0014555,0.0014555,0.0014555
24,967.396,1.03812,0.80641,1.30235,0.89626,0.7601,0.85907,0.6175,1.02603,0.69605,1.21779,0.00143075,0.00143075,0.00143075
25,1007.35,1.04877,0.81357,1.31282,0.87741,0.75398,0.85816,0.61546,1.02755,0.69172,1.22842,0.001406,0.001406,0.001406
26,1046.99,1.03661,0.7927,1.30045,0.87162,0.76452,0.84965,0.61668,1.0224,0.68594,1.22473,0.00138125,0.00138125,0.00138125
27,1086.73,1.02535,0.78823,1.29755,0.86923,0.75153,0.84772,0.6113,1.03709,0.6963,1.23591,0.0013565,0.0013565,0.0013565
28,1126.45,1.01424,0.78232,1.29152,0.89545,0.75482,0.85686,0.62551,1.02868,0.68348,1.23177,0.00133175,0.00133175,0.00133175
29,1166.17,1.02028,0.78689,1.29751,0.86936,0.77378,0.85162,0.62229,1.01696,0.67694,1.22327,0.001307,0.001307,0.001307
30,1206.32,1.01392,0.77812,1.2866,0.86473,0.75275,0.85279,0.61797,1.03037,0.68205,1.21759,0.00128225,0.00128225,0.00128225
31,1246.45,1.00183,0.76532,1.27562,0.89981,0.75153,0.84459,0.62163,1.00618,0.68302,1.21299,0.0012575,0.0012575,0.0012575
32,1286.61,0.9915,0.75095,1.26338,0.85704,0.77779,0.85405,0.63174,0.98662,0.65794,1.19655,0.00123275,0.00123275,0.00123275
33,1326.73,0.99838,0.7553,1.27077,0.91375,0.73912,0.85211,0.63212,0.97384,0.66428,1.19569,0.001208,0.001208,0.001208
34,1366.97,0.98966,0.7505,1.27002,0.88436,0.76744,0.85893,0.62342,0.99723,0.6779,1.22092,0.00118325,0.00118325,0.00118325
35,1406.78,0.99178,0.7465,1.26758,0.87584,0.75643,0.85159,0.62841,1.01464,0.66143,1.21586,0.0011585,0.0011585,0.0011585
36,1446.49,0.97902,0.74108,1.26653,0.89202,0.75031,0.85664,0.62899,0.99509,0.65964,1.21059,0.00113375,0.00113375,0.00113375
37,1486.29,0.96754,0.72502,1.25038,0.88979,0.74908,0.85712,0.62759,1.02505,0.67527,1.22054,0.001109,0.001109,0.001109
38,1526.15,0.96315,0.71355,1.25089,0.90303,0.75887,0.86437,0.63625,0.98577,0.65679,1.20495,0.00108425,0.00108425,0.00108425
39,1566.15,0.97653,0.7282,1.25699,0.86271,0.76911,0.85539,0.63148,0.98263,0.64801,1.19333,0.0010595,0.0010595,0.0010595
40,1606.03,0.96409,0.72079,1.2513,0.87799,0.76867,0.85219,0.62632,0.98558,0.66852,1.20153,0.00103475,0.00103475,0.00103475
41,1645.82,0.95045,0.70065,1.23807,0.87757,0.76327,0.8563,0.63406,0.99459,0.65022,1.21061,0.00101,0.00101,0.00101
42,1685.69,0.95441,0.70879,1.24541,0.86463,0.75887,0.85516,0.63978,0.96647,0.66023,1.18404,0.00098525,0.00098525,0.00098525
43,1725.54,0.94174,0.69047,1.22947,0.87427,0.77479,0.8642,0.64289,0.97449,0.65582,1.20006,0.0009605,0.0009605,0.0009605
44,1765.34,0.93607,0.69231,1.23274,0.8734,0.75643,0.85292,0.62512,1.00421,0.66074,1.20974,0.00093575,0.00093575,0.00093575
45,1805.12,0.93669,0.69043,1.23051,0.89366,0.73029,0.85127,0.63563,0.97862,0.66947,1.1856,0.000911,0.000911,0.000911
46,1845.04,0.92803,0.68663,1.22252,0.87658,0.76501,0.85811,0.63239,0.98804,0.6498,1.1974,0.00088625,0.00088625,0.00088625
47,1884.83,0.92661,0.68396,1.22531,0.88493,0.7436,0.85453,0.63333,0.98421,0.65491,1.19841,0.0008615,0.0008615,0.0008615
48,1924.53,0.92845,0.67516,1.22207,0.8674,0.76132,0.86181,0.63795,0.9992,0.64481,1.20485,0.00083675,0.00083675,0.00083675
49,1964.31,0.92829,0.68124,1.22804,0.85986,0.78458,0.86014,0.6384,0.97226,0.65811,1.18534,0.000812,0.000812,0.000812
50,2004.25,0.91243,0.66818,1.2115,0.8373,0.78736,0.86854,0.64733,0.98907,0.62882,1.20372,0.00078725,0.00078725,0.00078725
51,2044.15,0.91326,0.67119,1.21538,0.82658,0.7907,0.85143,0.63187,0.98266,0.65091,1.19524,0.0007625,0.0007625,0.0007625
52,2084.1,0.91189,0.66155,1.21011,0.84388,0.78728,0.8631,0.64033,0.98145,0.64061,1.19501,0.00073775,0.00073775,0.00073775
53,2123.96,0.88907,0.63944,1.19148,0.86078,0.77846,0.85857,0.6358,0.97847,0.6373,1.19462,0.000713,0.000713,0.000713
54,2163.84,0.89745,0.64736,1.20291,0.90063,0.72104,0.85119,0.63728,0.98019,0.64727,1.20041,0.00068825,0.00068825,0.00068825
55,2203.51,0.89707,0.64843,1.20583,0.85695,0.79187,0.86014,0.64339,0.94571,0.63347,1.17793,0.0006635,0.0006635,0.0006635
56,2243.32,0.90116,0.65094,1.20514,0.85886,0.77464,0.85826,0.64244,0.96186,0.63234,1.18017,0.00063875,0.00063875,0.00063875
57,2283.14,0.88571,0.63623,1.19555,0.87569,0.76989,0.86043,0.64444,0.94959,0.63345,1.17912,0.000614,0.000614,0.000614
58,2322.91,0.88712,0.64309,1.19583,0.86046,0.77479,0.85919,0.64854,0.94724,0.62735,1.17591,0.00058925,0.00058925,0.00058925
59,2362.79,0.88652,0.63703,1.1976,0.87903,0.7649,0.85783,0.63857,0.97272,0.63558,1.19315,0.0005645,0.0005645,0.0005645
60,2402.62,0.87579,0.63785,1.1958,0.88004,0.77234,0.86508,0.64737,0.94811,0.61047,1.1743,0.00053975,0.00053975,0.00053975
61,2442.43,0.86386,0.61289,1.1796,0.87858,0.77968,0.86163,0.64282,0.97088,0.62409,1.17726,0.000515,0.000515,0.000515
62,2482.31,0.87327,0.6293,1.18502,0.88638,0.7601,0.85932,0.64774,0.95485,0.63414,1.18105,0.00049025,0.00049025,0.00049025
63,2521.99,0.85929,0.60496,1.17772,0.86256,0.77587,0.86075,0.63951,0.9667,0.62416,1.20109,0.0004655,0.0004655,0.0004655
64,2561.93,0.86361,0.61453,1.18202,0.8378,0.78947,0.85449,0.64616,0.9543,0.64433,1.18586,0.00044075,0.00044075,0.00044075
65,2602.05,0.86243,0.61181,1.17663,0.87622,0.76622,0.85949,0.64254,0.9715,0.61797,1.1956,0.000416,0.000416,0.000416
66,2642,0.85107,0.60804,1.17253,0.85952,0.76867,0.85438,0.64393,0.96032,0.62768,1.19923,0.00039125,0.00039125,0.00039125
67,2681.86,0.84855,0.60227,1.17154,0.87144,0.77234,0.85418,0.64689,0.95266,0.62025,1.19202,0.0003665,0.0003665,0.0003665
68,2721.65,0.84653,0.60012,1.16952,0.82606,0.78474,0.85073,0.64234,0.94967,0.63202,1.18955,0.00034175,0.00034175,0.00034175
69,2761.55,0.84311,0.59677,1.16713,0.86196,0.77955,0.85732,0.6434,0.95672,0.61403,1.19849,0.000317,0.000317,0.000317
70,2801.3,0.8387,0.59496,1.16501,0.85742,0.7858,0.85986,0.65024,0.94755,0.6159,1.1917,0.00029225,0.00029225,0.00029225
71,2842.38,0.72115,0.45206,1.0928,0.83975,0.78895,0.85706,0.65059,0.94012,0.61541,1.18513,0.0002675,0.0002675,0.0002675
72,2881.73,0.69867,0.4309,1.07001,0.85768,0.7858,0.85997,0.64873,0.94939,0.62578,1.19835,0.00024275,0.00024275,0.00024275
73,2920.89,0.69611,0.42901,1.07054,0.8465,0.78974,0.85518,0.65092,0.93879,0.63285,1.18805,0.000218,0.000218,0.000218
74,2960.12,0.684,0.41972,1.06162,0.85619,0.77723,0.85375,0.65461,0.93125,0.6192,1.18814,0.00019325,0.00019325,0.00019325
75,2999.37,0.67795,0.4123,1.05803,0.84229,0.79754,0.85716,0.65254,0.94317,0.61172,1.20259,0.0001685,0.0001685,0.0001685
76,3038.59,0.671,0.4128,1.05673,0.83795,0.80416,0.8563,0.65655,0.93243,0.61716,1.18769,0.00014375,0.00014375,0.00014375
77,3078.08,0.66668,0.41168,1.04848,0.84834,0.79421,0.85931,0.65814,0.93396,0.61614,1.18721,0.000119,0.000119,0.000119
